ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID	INFERRED_CLASS	INFOMAPID
26107	BanjareseMalay	?	what?		apaʔ	a p a ʔ	V P V H	a p a 7	A P A H	1	1735	what?:1797	1797
58018	Carolinian	?	what?		mee|ta	m ee| t a	M V T V	m e t a	M E T A	1	1735	what?:1800	1800
15626	Chuukese	?	what?		meeta	m ee t a	M V T V	m e t a	M E T A	1	1735	what?:1800	1800
56773	DayakNgaju	?	what?		narai	n a r ai	N V R V	n a r a	N A R A	11	1736	what?:1798	1798
26584	EastSumbaneseKamberaSoutherndialect	?	what?		nggara	n gg a r a	N K V R V	n g a r a	N K A R A	5	1740	what?:1798	1798
10091	EastSumbaneseUmbuRatuNggaidialect	?	what?		gara	g a r a	K V R V	g a r a	K A R A	5	1740	what?:1798	1798
59424	FutunaEast	?	what?		aa	aa	V	a	A	1	1735	what?:1796	1796
55486	Imorod	?	what?		ikongo	i k o n g o	V K V N K V	i k o n g o	I K U N K U	18	1737	what?:1795	1795
49859	Indonesian	?	what?		apa	a p a	V P V	a p a	A P A	1	1735	what?:1797	1797
48283	Iraralay	?	what?		ikongo	i k o n g o	V K V N K V	i k o n g o	I K U N K U	18	1737	what?:1795	1795
53751	Isamorong	?	what?		ango	a n g o	V N K V	a n g o	A N K U	18	1737	what?:1795	1795
24447	Itbayat	?	what?		akoh	a k o h	V K V H	a k o h	A K U H	18	1737	what?:1795	1795
65330	Ivasay	?	what?		ango	a n g o	V N K V	a n g o	A N K U	18	1737	what?:1795	1795
1861	Katingan	?	what?		narai	n a r ai	N V R V	n a r a	N A R A	11	1736	what?:1798	1798
29239	Lakalai	?	what?		lava	l a v a	R V W V	l a v a	L A B A	1	1735	what?:1801	1801
38381	Luangiua	?	what?		ea	ea	V	e	E	1	1735	what?:1802	1802
907	MalayBahasaIndonesia	?	what?		apa	a p a	V P V	a p a	A P A	1	1735	what?:1797	1797
49160	Maori	?	what?		aha	a h a	V H V	a h a	A H A	1	1735	what?:1794	1794
48877	Marquesan	?	what?		aha	a h a	V H V	a h a	A H A	1	1735	what?:1794	1794
22680	Minangkabau	?	what?		apo	a p o	V P V	a p o	A P U	1	1735	what?:1797	1797
8559	NakanaiBilekiDialect	?	what?		l|ava	l| a v a	R V W V	l a v a	L A B A	1	1735	what?:1801	1801
42125	Niue	?	what?		haa	h aa	H V	h a	H A	1	1735	what?:1794	1794
3233	Ogan	?	what?		apə	a p ə	V P V	a p I	A P E	1	1735	what?:1797	1797
14501	Penrhyn	?	what?		aha	a h a	V H V	a h a	A H A	1	1735	what?:1794	1794
42906	RapanuiEasterIsland	?	what?		aha	a h a	V H V	a h a	A H A	1	1735	what?:1794	1794
66850	Rarotongan	?	what?		aa	aa	V	a	A	1	1735	what?:1796	1796
46988	Rennellese	?	what?		aa	aa	V	a	A	1	1735	what?:1796	1796
50735	Rurutuan	?	what?		aʔa	a ʔ a	V H V	a 7 a	A H A	1	1735	what?:1794	1794
33903	Sikaiana	?	what?		aa	aa	V	a	A	1	1735	what?:1796	1796
35680	Surigaonon	?	what?		ono	o n o	V N V	o n o	U N U	2	1738	what?:1799	1799
10033	Tagalog	?	what?		ano	a n o	V N V	a n o	A N U	2	1738	what?:1799	1799
25308	TagalogAnthonydelaPaz	?	what?		ano	a n o	V N V	a n o	A N U	2	1738	what?:1799	1799
29776	Tikopia	?	what?		aa	aa	V	a	A	1	1735	what?:1796	1796
29578	Tongan	?	what?		ha	h a	H V	h a	H A	1	1735	what?:1794	1794
63410	Tuamotu	?	what?		aha	a h a	V H V	a h a	A H A	1	1735	what?:1794	1794
35741	UveaEast	?	what?		aa	aa	V	a	A	1	1735	what?:1796	1796
62276	WesternBukidnonManobo	?	what?		heŋkey	h e ŋ k ey	H V N K V	h e N k e	H E N K E	26	1739	what?:1795	1795
54638	Woleai	?	what?		mettaa	m e tt aa	M V T V	m e t a	M E T A	1	1735	what?:1800	1800
14186	Yami	?	what?		ikong	i k o n g	V K V N K	i k o n g	I K U N K	18	1737	what?:1795	1795
15286	BanjareseMalay	?	when?		bila	b i l a	P V R V	b i l a	P I L A	13	1744	when?:1804	1804
28331	Carolinian	?	when?		ileet	i l ee t	V R V T	i l e t	I L E T	1	1741	when?:1808	1808
13388	Cebuano	?	when?		kanusa	k a n u s a	K V N V S V	k a n u s a	K A N Y S A	10	1742	when?:1807	1807
40929	Chuukese	?	when?		ineet	i n ee t	V N V T	i n e t	I N E T	1	1741	when?:1808	1808
3997	ChuukeseAKATrukese	?	when?		neet	n ee t	N V T	n e t	N E T	1	1741	when?:1808	1808
14193	EastSumbaneseKamberaSoutherndialect	?	when?		pirang	p i r a n g	P V R V N K	p i r a n g	P I R A N K	1	1741	when?:1804	1804
12378	EastSumbaneseUmbuRatuNggaidialect	?	when?		pirang	p i r a n g	P V R V N K	p i r a n g	P I R A N K	1	1741	when?:1804	1804
327	FutunaEast	?	when?		aafea	aa f ea	V P V	a f e	A B E	5	1745	when?:1803	1803
62234	Indonesian	?	when?		kapan	k a p a n	K V P V N	k a p a n	K A P A N	12	1743	when?:1806	1806
45494	Isamorong	?	when?		kaango	k aa n g o	K V N K V	k a n g o	K A N K U	10	1742	when?:1805	1805
12056	Itbayat	?	when?		angkaangoh	a n g k aa n g o h	V N K K V N K V H	a n g k a n g o h	A N K K A N K U H	10	1742	when?:1805	1805
12450	Itbayaten	?	when?		qangkaanguh	q a n g k aa n g u h	K V N K K V N K V H	q a n g k a n g u h	K A N K K A N K Y H	10	1742	when?:1805	1805
15846	Ivasay	?	when?		kaango	k aa n g o	K V N K V	k a n g o	K A N K U	10	1742	when?:1805	1805
18422	Lakalai	?	when?		alaisa	a l ai s a	V R V S V	a l a s a	A L A S A	1	1741	when?:1807	1807
22638	MalayBahasaIndonesia	?	when?		bila	b i l a	P V R V	b i l a	P I L A	13	1744	when?:1804	1804
22639	MalayBahasaIndonesia	?	when?		kapan	k a p a n	K V P V N	k a p a n	K A P A N	12	1743	when?:1806	1806
23929	Maori	?	when?		aahea	aa h ea	V H V	a h e	A H E	5	1745	when?:1803	1803
53408	Marquesan	?	when?		aahea	aa h ea	V H V	a h e	A H E	5	1745	when?:1803	1803
29735	Minangkabau	?	when?		bilo	b i l o	P V R V	b i l o	P I L U	13	1744	when?:1804	1804
19291	NakanaiBilekiDialect	?	when?		ga|isa	g a|i s a	K V S V	g a s a	K A S A	1	1741	when?:1807	1807
46668	Niue	?	when?		fe_	f e	P V	f e	B E	5	1745	when?:1803	1803
32257	Ogan	?	when?		kəbilə	k ə b i l ə	K V P V R V	k I b i l I	K E P I L E	13	1744	when?:1804	1804
56806	Penrhyn	?	when?		aahea	aa h ea	V H V	a h e	A H E	5	1745	when?:1803	1803
66225	Rarotongan	?	when?		aaea	aaea	V	a	A	5	1745	when?:1809	1809
7420	Rurutuan	?	when?		inaaʔea	i n aa ʔ ea	V N V H V	i n a 7 e	I N A H E	5	1745	when?:1803	1803
11710	Samoan	?	when?		anafea	a n a f ea	V N V P V	a n a f e	A N A B E	5	1745	when?:1803	1803
4112	Surigaonon	?	when?		kanusa	k a n u s a	K V N V S V	k a n u s a	K A N Y S A	10	1742	when?:1807	1807
66585	Tagalog	?	when?		kailan	k ai l a n	K V R V N	k a l a n	K A L A N	1	1741	when?:1806	1806
23554	TagalogAnthonydelaPaz	?	when?		kailan	k ai l a n	K V R V N	k a l a n	K A L A N	1	1741	when?:1806	1806
7070	TahitianModern	?	when?		inaafea	i n aa f ea	V N V P V	i n a f e	I N A B E	5	1745	when?:1803	1803
37608	Tikopia	?	when?		afea	a f ea	V P V	a f e	A B E	5	1745	when?:1803	1803
60878	UveaEast	?	when?		afea	a f ea	V P V	a f e	A B E	5	1745	when?:1803	1803
34375	Woleai	?	when?		ileeta	i l ee t a	V R V T V	i l e t a	I L E T A	1	1741	when?:1808	1808
56438	Yami	?	when?		mango	m a n g o	M V N K V	m a n g o	M A N K U	10	1742	when?:1805	1805
2048	Anuta	?	where?		pea	p ea	P V	p e	P E	3	1751	where?:1810	1810
30233	Carolinian	?	where?		iiya	iiya	V	i	I	3	1751	where?:1812	1812
3503	Cebuano	?	where?		hain	h ai n	H V N	h a n	H A N	15	1748	where?:1813	1813
50035	Chuukese	?	where?		iiya	iiya	V	i	I	3	1751	where?:1812	1812
36394	ChuukeseAKATrukese	?	where?		iyaa	iyaa	V	i	I	3	1751	where?:1812	1812
49775	DayakNgaju	?	where?		kuweh	k u w e h	K V W V H	k u w e h	K Y W E H	25	1750	where?:1815	1815
37310	EastSumbaneseUmbuRatuNggaidialect	?	where?		gide	g i d e	K V T V	g i d e	K I T E	5	1753	where?:1818	1818
56972	FutunaEast	?	where?		fea	f ea	P V	f e	B E	3	1751	where?:1810	1810
41865	Imorod	?	where?		jino	j i n o	J V N V	y i n o	J I N U	1	1746	where?:1811	1811
11238	Iraralay	?	where?		jino	j i n o	J V N V	y i n o	J I N U	1	1746	where?:1811	1811
26536	Isamorong	?	where?		jino	j i n o	J V N V	y i n o	J I N U	1	1746	where?:1811	1811
38789	Itbayat	?	where?		dinoh	d i n o h	T V N V H	d i n o h	T I N U H	1	1746	where?:1811	1811
67344	Itbayaten	?	where?		dinuh	d i n u h	T V N V H	d i n u h	T I N Y H	1	1746	where?:1811	1811
38154	Ivasay	?	where?		dino	d i n o	T V N V	d i n o	T I N U	1	1746	where?:1811	1811
5234	Katingan	?	where?		naŋquhsuwɛi	n a ŋ q u h s u w ɛi	N V N K V H S V W V	n a N q u h s u w E	N A N K Y H S Y W E	25	1750	where?:1816	1816
63512	Lakalai	?	where?		oiove	oio v e	V W V	o v e	U B E	10	1747	where?:1810	1810
20774	Luangiua	?	where?		hea	h ea	H V	h e	H E	3	1751	where?:1810	1810
14960	MalayBahasaIndonesia	?	where?		dimana	d i m a n a	T V M V N V	d i m a n a	T I M A N A	20	1749	where?:1814	1814
45913	Maori	?	where?		whea	w h ea	W H V	w h e	W H E	3	1751	where?:1810	1810
62770	Marquesan	?	where?		hea	h ea	H V	h e	H E	3	1751	where?:1810	1810
26062	Minangkabau	?	where?		dima	d i m a	T V M V	d i m a	T I M A	20	1749	where?:1814	1814
52121	NakanaiBilekiDialect	?	where?		oiove	oio v e	V W V	o v e	U B E	10	1747	where?:1810	1810
56198	Niue	?	where?		fee	f ee	P V	f e	B E	3	1751	where?:1810	1810
11015	Ogan	?	where?		dimanə	d i m a n ə	T V M V N V	d i m a n I	T I M A N E	20	1749	where?:1814	1814
58149	Penrhyn	?	where?		hea	h ea	H V	h e	H E	3	1751	where?:1810	1810
65409	RapanuiEasterIsland	?	where?		he	h e	H V	h e	H E	3	1751	where?:1810	1810
48727	Rarotongan	?	where?		ea	ea	V	e	E	3	1751	where?:1810	1810
36323	Rennellese	?	where?		hea	h ea	H V	h e	H E	3	1751	where?:1810	1810
10504	Rurutuan	?	where?		ʔia	ʔ ia	H V	7 i	H I	3	1751	where?:1810	1810
47864	Sikaiana	?	where?		hea	h ea	H V	h e	H E	3	1751	where?:1810	1810
11687	Surigaonon	?	where?		hain	h ai n	H V N	h a n	H A N	15	1748	where?:1813	1813
58408	Tagalog	?	where?		saan	s aa n	S V N	s a n	S A N	15	1748	where?:1813	1813
37696	TagalogAnthonydelaPaz	?	where?		saan	s aa n	S V N	s a n	S A N	15	1748	where?:1813	1813
19834	TahitianModern	?	where?		hea	h ea	H V	h e	H E	3	1751	where?:1810	1810
62364	Tikopia	?	where?		fea	f ea	P V	f e	B E	3	1751	where?:1810	1810
39114	Tuamotu	?	where?		hea	h ea	H V	h e	H E	3	1751	where?:1810	1810
59511	UveaEast	?	where?		fea	f ea	P V	f e	B E	3	1751	where?:1810	1810
45577	WesternBukidnonManobo	?	where?		hendeqi	h e n d e q i	H V N T V K V	h e n d e q i	H E N T E K I	32	1752	where?:1817	1817
26830	Woleai	?	where?		iiya	iiya	V	i	I	3	1751	where?:1812	1812
51812	Yami	?	where?		jino	j i n o	J V N V	y i n o	J I N U	1	1746	where?:1811	1811
15309	Anuta	?	white		kena	k e n a	K V N V	k e n a	K E N A	10	1755	white:1823	1823
15310	Anuta	?	white		tea	t ea	T V	t e	T E	8	1764	white:1819	1819
23339	BanjareseMalay	?	white		putih	p u t i h	P V T V H	p u t i h	P Y T I H	1	1754	white:1820	1820
61860	Carolinian	?	white		bweschebwesch	b w e s c h e b w e s c h	P W V S K H V P W V S K H	b w e s T h e b w e s T h	P W E S C H E P W E S C H	11	1756	white:1822	1822
34047	Cebuano	?	white		puti	p u t i	P V T V	p u t i	P Y T I	1	1754	white:1820	1820
31362	Chuukese	?	white		pwecha	p w e c h a	P W V K H V	p w e T h a	P W E C H A	11	1756	white:1822	1822
56499	DayakNgaju	?	white		puti	p u t i	P V T V	p u t i	P Y T I	1	1754	white:1820	1820
16373	EastSumbaneseKamberaSoutherndialect	?	white		bara	b a r a	P V R V	b a r a	P A R A	3	1760	white:1825	1825
39790	EastSumbaneseUmbuRatuNggaidialect	?	white		kaka	k a k a	K V K V	k a k a	K A K A	5	1762	white:1824	1824
39791	EastSumbaneseUmbuRatuNggaidialect	?	white		mbara	m b a r a	M P V R V	m b a r a	M P A R A	3	1760	white:1825	1825
7845	FutunaEast	?	white		tea	t ea	T V	t e	T E	8	1764	white:1819	1819
28211	Imorod	?	white		meylak	m ey l a k	M V R V K	m e l a k	M E L A K	27	1758	white:1821	1821
28212	Imorod	?	white		malavang	m a l a v a n g	M V R V W V N K	m a l a v a n g	M A L A B A N K	28	1759	white:1821	1821
48451	Indonesian	?	white		putih	p u t i h	P V T V H	p u t i h	P Y T I H	1	1754	white:1820	1820
4745	Iraralay	?	white		meylak	m ey l a k	M V R V K	m e l a k	M E L A K	27	1758	white:1821	1821
4746	Iraralay	?	white		malavang	m a l a v a n g	M V R V W V N K	m a l a v a n g	M A L A B A N K	28	1759	white:1821	1821
3014	Isamorong	?	white		mayidak	m ayi d a k	M V T V K	m a d a k	M A T A K	27	1758	white:1821	1821
39616	Itbayat	?	white		mahilak	m a h i l a k	M V H V R V K	m a h i l a k	M A H I L A K	27	1758	white:1821	1821
39423	Itbayaten	?	white		mahilak	m a h i l a k	M V H V R V K	m a h i l a k	M A H I L A K	27	1758	white:1821	1821
52002	Ivasay	?	white		maydak	m ay d a k	M V T V K	m a d a k	M A T A K	27	1758	white:1821	1821
15678	Katingan	?	white		baputiʔ	b a p u t i ʔ	P V P V T V H	b a p u t i 7	P A P Y T I H	1	1754	white:1820	1820
9534	Lakalai	?	white		kakea	k a k ea	K V K V	k a k e	K A K E	20	1757	white:1824	1824
27357	MalayBahasaIndonesia	?	white		putih	p u t i h	P V T V H	p u t i h	P Y T I H	1	1754	white:1820	1820
18668	Marquesan	?	white		tavaie	t a v aie	T V W V	t a v a	T A B A	47	1761	white:1827	1827
18669	Marquesan	?	white		teko	t e k o	T V K V	t e k o	T E K U	9	1765	white:1819	1819
18670	Marquesan	?	white		tea	t ea	T V	t e	T E	8	1764	white:1819	1819
54718	Minangkabau	?	white		putiah	p u t ia h	P V T V H	p u t i h	P Y T I H	1	1754	white:1820	1820
1455	NakanaiBilekiDialect	?	white		kakea	k a k ea	K V K V	k a k e	K A K E	20	1757	white:1824	1824
63453	Niue	?	white		tea	t ea	T V	t e	T E	8	1764	white:1819	1819
1906	Ogan	?	white		putih	p u t i h	P V T V H	p u t i h	P Y T I H	1	1754	white:1820	1820
55394	Penrhyn	?	white		tea	t ea	T V	t e	T E	8	1764	white:1819	1819
47682	RapanuiEasterIsland	?	white		teatea	t ea t ea	T V T V	t e t e	T E T E	8	1764	white:1819	1819
39398	Rarotongan	?	white		tea	t ea	T V	t e	T E	8	1764	white:1819	1819
9353	Rennellese	?	white		tea	t ea	T V	t e	T E	8	1764	white:1819	1819
9577	Rurutuan	?	white		teatea	t ea t ea	T V T V	t e t e	T E T E	8	1764	white:1819	1819
38602	Samoan	?	white		sina	s i n a	S V N V	s i n a	S I N A	66	1763	white:1826	1826
38603	Samoan	?	white		tea	t ea	T V	t e	T E	8	1764	white:1819	1819
64259	Sikaiana	?	white		k/kena	k k e n a	K K V N V	k k e n a	K K E N A	10	1755	white:1823	1823
64260	Sikaiana	?	white		tea	t ea	T V	t e	T E	8	1764	white:1819	1819
5684	Surigaonon	?	white		puti	p u t i	P V T V	p u t i	P Y T I	1	1754	white:1820	1820
49937	Tagalog	?	white		puti	p u t i	P V T V	p u t i	P Y T I	1	1754	white:1820	1820
13475	TagalogAnthonydelaPaz	?	white		puti	p u t i	P V T V	p u t i	P Y T I	1	1754	white:1820	1820
51376	Tikopia	?	white		kena	k e n a	K V N V	k e n a	K E N A	10	1755	white:1823	1823
51377	Tikopia	?	white		tea	t ea	T V	t e	T E	8	1764	white:1819	1819
17533	Tongan	?	white		hinehina	h i n e h i n a	H V N V H V N V	h i n e h i n a	H I N E H I N A	66	1763	white:1826	1826
34270	Tuamotu	?	white		tea	t ea	T V	t e	T E	8	1764	white:1819	1819
16590	UveaEast	?	white		tea	t ea	T V	t e	T E	8	1764	white:1819	1819
8641	WesternBukidnonManobo	?	white		putiq	p u t i q	P V T V K	p u t i q	P Y T I K	1	1754	white:1820	1820
51268	Woleai	?	white		beshɛ	b e s h ɛ	P V S H V	b e s h E	P E S H E	11	1756	white:1822	1822
36066	Yami	?	white		malavang	m a l a v a n g	M V R V W V N K	m a l a v a n g	M A L A B A N K	28	1759	white:1821	1821
3666	Anuta	?	who?		ai	ai	V	a	A	1	1766	who?:1829	1829
46759	BanjareseMalay	?	who?		siapaʔ	s ia p a ʔ	S V P V H	s i p a 7	S I P A H	12	1767	who?:1828	1828
59493	Carolinian	?	who?		iyo	iyo	V	i	I	9	1773	who?:1833	1833
63720	Chuukese	?	who?		iye	iye	V	i	I	9	1773	who?:1833	1833
11224	ChuukeseAKATrukese	?	who?		yee	yee	V	i	Y	9	1773	who?:1837	1837
41362	DayakNgaju	?	who?		aweh	a w e h	V W V H	a w e h	A W E H	13	1768	who?:1832	1832
1449	EastSumbaneseKamberaSoutherndialect	?	who?		nggamu	n gg a m u	N K V M V	n g a m u	N K A M Y	6	1772	who?:1836	1836
57680	EastSumbaneseUmbuRatuNggaidialect	?	who?		hera	h e r a	H V R V	h e r a	H E R A	5	1771	who?:1838	1838
17351	FutunaEast	?	who?		ai	ai	V	a	A	1	1766	who?:1829	1829
14692	Imorod	?	who?		sino	s i n o	S V N V	s i n o	S I N U	14	1769	who?:1828	1828
3488	Indonesian	?	who?		siapa	s ia p a	S V P V	s i p a	S I P A	12	1767	who?:1828	1828
55406	Iraralay	?	who?		sino	s i n o	S V N V	s i n o	S I N U	14	1769	who?:1828	1828
64993	Isamorong	?	who?		sino	s i n o	S V N V	s i n o	S I N U	14	1769	who?:1828	1828
45835	Itbayat	?	who?		sinoh	s i n o h	S V N V H	s i n o h	S I N U H	14	1769	who?:1828	1828
52898	Itbayaten	?	who?		sinuh	s i n u h	S V N V H	s i n u h	S I N Y H	14	1769	who?:1828	1828
37424	Ivasay	?	who?		sino	s i n o	S V N V	s i n o	S I N U	14	1769	who?:1828	1828
22873	Katingan	?	who?		ɛwɛi	ɛ w ɛi	V W V	E w E	E W E	13	1768	who?:1832	1832
21629	Lakalai	?	who?		ere	e r e	V R V	e r e	E R E	1	1766	who?:1831	1831
34560	Luangiua	?	who?		ai	ai	V	a	A	1	1766	who?:1829	1829
7908	MalayBahasaIndonesia	?	who?		siapa	s ia p a	S V P V	s i p a	S I P A	12	1767	who?:1828	1828
28702	Maori	?	who?		wai	w ai	W V	w a	W A	1	1766	who?:1830	1830
21394	Marquesan	?	who?		ai	ai	V	a	A	1	1766	who?:1829	1829
30706	Minangkabau	?	who?		sia	s ia	S V	s i	S I	12	1767	who?:1828	1828
61742	NakanaiBilekiDialect	?	who?		e|re	e| r e	V R V	e r e	E R E	1	1766	who?:1831	1831
56787	Niue	?	who?		hai	h ai	H V	h a	H A	1	1766	who?:1829	1829
18988	Ogan	?	who?		sapə	s a p ə	S V P V	s a p I	S A P E	12	1767	who?:1828	1828
4398	Penrhyn	?	who?		v/ai	v ai	W V	v a	B A	1	1766	who?:1830	1830
31214	RapanuiEasterIsland	?	who?		aai	aai	V	a	A	1	1766	who?:1829	1829
33991	Rarotongan	?	who?		ai	ai	V	a	A	1	1766	who?:1829	1829
20293	Rennellese	?	who?		ai	ai	V	a	A	1	1766	who?:1829	1829
42368	Rurutuan	?	who?		vai	v ai	W V	v a	B A	1	1766	who?:1830	1830
62511	Sikaiana	?	who?		ai	ai	V	a	A	1	1766	who?:1829	1829
54020	Surigaonon	?	who?		sino	s i n o	S V N V	s i n o	S I N U	14	1769	who?:1828	1828
1972	Tagalog	?	who?		sino	s i n o	S V N V	s i n o	S I N U	14	1769	who?:1828	1828
28047	TagalogAnthonydelaPaz	?	who?		sino	s i n o	S V N V	s i n o	S I N U	14	1769	who?:1828	1828
62569	Tikopia	?	who?		ai	ai	V	a	A	1	1766	who?:1829	1829
40752	Tongan	?	who?		hai	h ai	H V	h a	H A	1	1766	who?:1829	1829
2003	Tuamotu	?	who?		ai	ai	V	a	A	1	1766	who?:1829	1829
29093	UveaEast	?	who?		ai	ai	V	a	A	1	1766	who?:1829	1829
43019	WesternBukidnonManobo	?	who?		henteqi	h e n t e q i	H V N T V K V	h e n t e q i	H E N T E K I	21	1770	who?:1835	1835
14820	Woleai	?	who?		iteɪʊ	i t eɪʊ	V T V	i t e	I T E	9	1773	who?:1834	1834
34175	Yami	?	who?		sino	s i n o	S V N V	s i n o	S I N U	14	1769	who?:1828	1828
14549	BanjareseMalay	?	wide		libar	l i b a r	R V P V R	l i b a r	L I P A R	1	1774	wide:1840	1840
14857	Carolinian	?	wide		scheelap	s c h ee l a p	S K H V R V P	s T h e l a p	S C H E L A P	9	1783	wide:1842	1842
16021	Cebuano	?	wide		lapad	l a p a d	R V P V T	l a p a d	L A P A T	1	1774	wide:1840	1840
644	Chuukese	?	wide		cheenap	c h ee n a p	K H V N V P	T h e n a p	C H E N A P	9	1783	wide:1842	1842
22930	ChuukeseAKATrukese	?	wide		cheenap	c h ee n a p	K H V N V P	T h e n a p	C H E N A P	9	1783	wide:1842	1842
48890	DayakNgaju	?	wide		lumbah	l u m b a h	R V M P V H	l u m b a h	L Y M P A H	1	1774	wide:1840	1840
51758	EastSumbaneseKamberaSoutherndialect	?	wide		mbalaru	m b a l a r u	M P V R V R V	m b a l a r u	M P A L A R Y	2	1777	wide:1845	1845
62874	EastSumbaneseUmbuRatuNggaidialect	?	wide		mbelar	m b e l a r	M P V R V R	m b e l a r	M P E L A R	2	1777	wide:1845	1845
48650	FutunaEast	?	wide		laulasi	l au l a s i	R V R V S V	l a l a s i	L A L A S I	9	1783	wide:1839	1839
20764	Imorod	?	wide		mowvong	m o w v o n g	M V W W V N K	m o w v o n g	M U W B U N K	15	1776	wide:1841	1841
41352	Indonesian	?	wide		luas	l ua s	R V S	l u s	L Y S	42	1780	wide:1839	1839
41353	Indonesian	?	wide		lebar	l e b a r	R V P V R	l e b a r	L E P A R	1	1774	wide:1840	1840
63475	Iraralay	?	wide		mowvong	m o w v o n g	M V W W V N K	m o w v o n g	M U W B U N K	15	1776	wide:1841	1841
32620	Isamorong	?	wide		maovong	m ao v o n g	M V W V N K	m a v o n g	M A B U N K	15	1776	wide:1841	1841
53831	Itbayat	?	wide		raxawa	r a x a w a	R V K V W V	r a x a w a	R A G A W A	14	1775	wide:1846	1846
53832	Itbayat	?	wide		mayavong	m aya v o n g	M V W V N K	m a v o n g	M A B U N K	15	1776	wide:1841	1841
52122	Itbayaten	?	wide		mayavung	m aya v u n g	M V W V N K	m a v u n g	M A B Y N K	15	1776	wide:1841	1841
22426	Ivasay	?	wide		maovong	m ao v o n g	M V W V N K	m a v o n g	M A B U N K	15	1776	wide:1841	1841
47909	Katingan	?	wide		lumbah	l u m b a h	R V M P V H	l u m b a h	L Y M P A H	1	1774	wide:1840	1840
14229	Luangiua	?	wide		l/laha	l l a h a	R R V H V	l l a h a	L L A H A	8	1782	wide:1839	1839
56851	MalayBahasaIndonesia	?	wide		lebar	l e b a r	R V P V R	l e b a r	L E P A R	1	1774	wide:1840	1840
19926	Marquesan	?	wide		fatea	f a t ea	P V T V	f a t e	B A T E	21	1778	wide:1843	1843
10274	NakanaiBilekiDialect	?	wide		bola	b o l a	P V R V	b o l a	P U L A	40	1779	wide:1847	1847
50817	Niue	?	wide		laulahi	l au l a h i	R V R V H V	l a l a h i	L A L A H I	9	1783	wide:1839	1839
2609	Ogan	?	wide		libax	l i b a x	R V P V K	l i b a x	L I P A G	1	1774	wide:1840	1840
10390	Penrhyn	?	wide		raharaha	r a h a r a h a	R V H V R V H V	r a h a r a h a	R A H A R A H A	8	1782	wide:1839	1839
58046	Rarotongan	?	wide		aano	aa n o	V N V	a n o	A N U	7	1781	wide:1844	1844
58047	Rarotongan	?	wide		atea	a t ea	V T V	a t e	A T E	21	1778	wide:1843	1843
22198	Rurutuan	?	wide		ʔaʔano	ʔ a ʔ a n o	H V H V N V	7 a 7 a n o	H A H A N U	7	1781	wide:1844	1844
36038	Samoan	?	wide		lautele	l au t e l e	R V T V R V	l a t e l e	L A T E L E	9	1783	wide:1843	1843
54828	Sikaiana	?	wide		llaha	ll a h a	R V H V	l a h a	L A H A	8	1782	wide:1839	1839
8888	Tagalog	?	wide		malapad	m a l a p a d	M V R V P V T	m a l a p a d	M A L A P A T	1	1774	wide:1840	1840
3881	TagalogAnthonydelaPaz	?	wide		malapad	m a l a p a d	M V R V P V T	m a l a p a d	M A L A P A T	1	1774	wide:1840	1840
21070	TahitianModern	?	wide		aano	aa n o	V N V	a n o	A N U	7	1781	wide:1844	1844
24740	Tikopia	?	wide		lafalafa	l a f a l a f a	R V P V R V P V	l a f a l a f a	L A B A L A B A	8	1782	wide:1839	1839
56771	Tongan	?	wide		laulahi	l au l a h i	R V R V H V	l a l a h i	L A L A H I	9	1783	wide:1839	1839
46170	Tuamotu	?	wide		raha	r a h a	R V H V	r a h a	R A H A	8	1782	wide:1839	1839
33630	UveaEast	?	wide		laulahi	l au l a h i	R V R V H V	l a l a h i	L A L A H I	9	1783	wide:1839	1839
3520	WesternBukidnonManobo	?	wide		luqag	l u q a g	R V K V K	l u q a g	L Y K A K	1	1774	wide:1848	1848
40188	Woleai	?	wide		sheolapa	s h eo l a p a	S H V R V P V	s h e l a p a	S H E L A P A	9	1783	wide:1842	1842
24016	Yami	?	wide		mowvong	m o w v o n g	M V W W V N K	m o w v o n g	M U W B U N K	15	1776	wide:1841	1841
11736	Anuta	?	wife		nopine	n o p i n e	N V P V N V	n o p i n e	N U P I N E	5	1791	wife:1849	1849
67380	BanjareseMalay	?	wife		bini	b i n i	P V N V	b i n i	P I N I	5	1791	wife:1849	1849
17457	Cebuano	?	wife		asawa	a s a w a	V S V W V	a s a w a	A S A W A	1	1784	wife:1850	1850
48219	ChuukeseAKATrukese	?	wife		pwunuwa	p w u n u w a	P W V N V W V	p w u n u w a	P W Y N Y W A	10	1785	wife:1855	1855
50503	DayakNgaju	?	wife		sawa	s a w a	S V W V	s a w a	S A W A	1	1784	wife:1850	1850
62295	EastSumbaneseUmbuRatuNggaidialect	?	wife		papaha	p a p a h a	P V P V H V	p a p a h a	P A P A H A	4	1790	wife:1856	1856
50267	FutunaEast	?	wife		finematua	f i n e m a t ua	P V N V M V T V	f i n e m a t u	B I N E M A T Y	9	1793	wife:1849	1849
6905	Imorod	?	wife		mavakes	m a v a k e s	M V W V K V S	m a v a k e s	M A B A K E S	21	1788	wife:1851	1851
53045	Indonesian	?	wife		isteri	i s t e r i	V S T V R V	i s t e r i	I S T E R I	33	1789	wife:1852	1852
