ID	DOCULECT	DOCULECT_ABBREVIATION	DOCULECT_FILE	POPULATION_NAME	GLOTTOCODE	CONCEPT	GLOSSID	VALUE	FORM	COGNACY	COG	DOCULECT_AGE	BORROWING	NOTE	COGID	TOKENS
7105	Geba	GEB	kar	Karen	geba1237	tree	90	ṭoʔ.53	ṭoʔ⁵³	1513	1513:tree	20	0		303	ʈ o ʔ ⁵³
7106	Manu	MNU	kar	Karen	manu1255	tree	90	sø.44.55	sø⁴⁴⁵⁵	1513	1513:tree	20	0	Manumanaw Karen	303	s ø ⁴⁴/⁵⁵
7107	Alike Tibetan	ALI	tib		amdo1237	tree	90	ɣdoŋ ŋo	ɣdoŋ_ŋo	1057	1057:tree	20	0		129	ɣ d o ŋ _ ŋ o
7108	Shixing	SHI	syc		shix1238	tree	90	sa.55 zə̃.55	sa⁵⁵_zə̃⁵⁵	1513	1513:tree	20	0		303	s a ⁵⁵ ◦ z ə̃ ∼ ⁵⁵
7109	Aka	AKA	aka		akha1245	tree	90	šo, šoń	šo	1513	1513:tree	20	0		303	ʃ o
7110	Nocte	NOC	knyk		noct1238	tree	90	baŋ	baŋ	241	241:tree	20	0		605	b a ŋ
7111	Ninglang-Naxi	NIN	bur	Naxi	naxi1245	tree	90	sɨ.55 ʒɨ.33	sɨ⁵⁵_ʒɨ³³	1513	1513:tree	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	303	s ɨ ⁵⁵ ◦ ʒ ɨ ³³
7112	Khaling	KLN	kir		khal1275	tree	90	saŋ. L	saŋ_L	1513	1513:tree	20	0		303	s a ŋ _
7113	Langsu-Maru	LAN	bur		maru1249	tree	90	sa̲k.55	sa̲k⁵⁵	1513	1513:tree	20	0		303	s a̰ k ⁵⁵
7114	W. Kayah	KYH	kar	Karen	west2409	tree	90	ćɔ.11	ćɔ¹¹	1513	1513:tree	20	0	Kayah Western	303	tsʲ ɔ ¹¹
7115	Written Tibetan	WRT	tib	Tibetan	tibe1272	tree	90	śiŋ sdoŋ	śiŋ_sdoŋ	1513	1513:tree	20	0		303	sʲ i ŋ _ s ◦ d o ŋ
7116	Nishi	NIS	tani	Nysha	nisi1238	tree	90	se:m	seːm	1513	1513:tree	20	0	Nisi?	303	s eː m
7117	Batang Tibetan	BAT	tib		kham1282	tree	90	xĩ.55 phũ.55	xĩ⁵⁵_phũ⁵⁵	1513	1513:tree	20	0		303	x ĩ ∼ ⁵⁵ ◦ pʰ ũ ∼ ⁵⁵
7118	Dumi	DUM	kir		dumi1241	tree	90	bhu	bhu	241	241:tree	20	0		605	b h u
7119	Gurung	GUR	gur		guru1261	tree	90	dũ.4  TIB	dũ⁴__TIB	-1	-1-80	20	1		78	d ũ ∼ ⁴ ◦
7120	Lhasa Tibetan	LHA	tib	Tibetan	tibe1272	tree	90	śiŋ.53 tuŋ.55	śiŋ⁵³_tuŋ⁵⁵	1513	1513:tree	20	0		303	sʲ i ŋ ⁵³ ◦ t u ŋ ⁵⁵
7121	Garo	GAR	bodo	Garo	garo1247	tree	90	bol	bol	50	50:tree	20	0		1357	b o l
7122	Hill-Miri	HIL	tani	Nysha	nyis1236	tree	90	sən	sən	1513	1513:tree	20	0		303	s ə n
7123	Limbu	LIM	kir		limb1266	tree	90	siN=bo:N	siNboːN	1513	1513:tree	20	0		303	s i ◦ b oː
7124	Upper-Bangni	UBA	tani		bang1338	tree	90	saŋ=ne	saŋne	1513	1513:tree	20	0		303	s a ŋ ◦ n e
7125	Leqi	LEQ	bur		lash1243	tree	90	sə̲k.55	sə̲k⁵⁵	1513	1513:tree	20	0		303	s ə k ⁵⁵
7126	Hakka	HKK	sino	Hakka	hakk1236	tree	90	su4-ui3	su⁴-ui³	4574	4574:tree	20	0		1317	s u ⁴ ◦ + u i ³
7127	Motuo-M	MOT	mot	Tibetan	dakp1242	tree	90	śiŋ	śiŋ	1513	1513:tree	20	0	Tawang Monpa, Dakpakha?	303	sʲ i ŋ
7128	Tujia	TUJ	tujia	Tujia	nort2732	tree	90	kha.4 moŋ.4	kha⁴_moŋ⁴	2759	2759:tree	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	807	kʰ a ⁴ ◦ m o ŋ ⁴
7129	Beijing	PEK	sino	CHB	mand1415	tree	90	shù 樹	shù	4574	4574:tree	20	0		1317	sʰ u
7130	Zhaba	ZHA	syc		zhab1238	tree	90	sik.55	sik⁵⁵	1513	1513:tree	20	0	Stage 2	303	s i k ⁵⁵
7131	Kaike	KAY	kay		kaik1246	tree	90	ṭɔŋ=pu	ṭɔŋpu	1057	1057:tree	20	0		129	ʈ ɔ ŋ ◦ p u
7132	Yintale	YIN	kar	Karen	yint1235	tree	90	sein.13	sein¹³	1513	1513:tree	20	0	Yintale Karen	303	s e i n ¹³
7133	Jinuo	JIN	bur	Jinuo	youl1235	tree	90	a.33 cə.44	a³³_cə⁴⁴	1513	1513:tree	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	303	a ³³ ◦ ts ə ⁴⁴
7134	Serdukpen	SER	sul		sher1257	tree	90	hiŋ-thuŋ	hiŋ-thuŋ	1513	1513:tree	20	0	Stage 2	303	h i ŋ + tʰ u ŋ
7135	Namuzi	NAM	syc		namu1246	tree	90	sɨ.33 po.55	sɨ³³_po⁵⁵	241	241:tree	20	0		605	s ɨ ³³ ◦ p o ⁵⁵
7136	Xiaxe Tibetan	XIA	tib		amdo1237	tree	90	doŋ wo	doŋ_wo	1057	1057:tree	20	0		129	d o ŋ _ w o
7137	Lüsu	LUS	syc		lisu1250	tree	90	se.33 pu.53	se³³_pu⁵³	241	241:tree	20	0		605	s e ³³ ◦ p u ⁵³
7138	Yimchunrü	YIM	naga	Naga (Ao_Naga)	yimc1240	tree	90	saŋtuŋ	saŋtuŋ	1513	1513:tree	20	0	Naga Yimchungru	303	s a ŋ ◦ t u ŋ
7139	Liangmai	LIA	naga		lian1251	tree	90	šiŋ=baŋ	šiŋbaŋ	1513	1513:tree	20	0		303	ʃ i ŋ ◦ b a ŋ
7140	Dimasa	DIM	bodo		dima1251	tree	90	bo=phaŋ	bophaŋ	241	241:tree	20	0		605	b o ◦ pʰ a ŋ
7141	Yeinbaw	YEI	kar	Karen	yinb1236	tree	90	θɨ̃.11 mɨ.11	θɨ̃¹¹_mɨ¹¹	1513	1513:tree	20	0	Yinbaw Karen	303	θ ɨ̃ ∼ ¹¹ ◦ m ɨ ¹¹
7142	N-Qiang	QIA	syc		nort2722	tree	90	phəq	phəq	241	241:tree	20	0	Stage 2	605	pʰ ə q
7143	Lijiang-Naxi	LIJ	bur	Naxi	lich1241	tree	90	nʒər.31	nʒər³¹	1513	1513:tree	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	303	n ʒ ə r ³¹
7144	Zeme	ZEM	naga		zeme1240	tree	90	hiŋ=baŋ	hiŋbaŋ	1513	1513:tree	20	0		303	h i ŋ ◦ b a ŋ
7145	Jingpo	JNP	jnp		kach1280	tree	90	phun.55	phun⁵⁵	50	50:tree	20	0	Jinghpaw; Stage 2	1357	pʰ u n ⁵⁵
7146	Bodo	BOD	bodo		bodo1269	tree	90	bompaŋ, bompoŋ	bompaŋ	241	241:tree	20	0		605	b o m ◦ p a ŋ
7147	Fuzhou	FUZ	sino	Han	mind1253	tree	90	chiu31	chiu³¹	4574	4574:tree	20	0		1317	tsʰ i u ³¹
7148	Burmese	WRB	bur	Burmese	nucl1310	tree	90	sac paŋ	sac_paŋ	1513	1513:tree	20	0		303	s a ts _ p a ŋ
7149	Horpa	DAO	syc		horp1239	tree	90	lə phu	lə_phu	241	241:tree	20	0		605	l ə _ pʰ u
7150	Ao-Chungli	AOC	naga	Naga (Ao_Naga)	chon1286	tree	90	sɨŋdoŋ	sɨŋdoŋ	1513	1513:tree	20	0	Naga Ao	303	s ɨ ŋ ◦ d o ŋ
7151	Padam	PAD	tani		pada1257	tree	90	ə-šiŋ	ə-šiŋ	1513	1513:tree	19	0		303	ə + ʃ i ŋ
7152	Bola	BOL	bur		pela1242	tree	90	sak.55	sak⁵⁵	1513	1513:tree	20	0		303	s a k ⁵⁵
7153	Guiqiong	GUI	syc		guiq1238	tree	90	sɛ̃.33 po.53	sɛ̃³³_po⁵³	241	241:tree	20	0		605	s ɛ̃ ∼ ³³ ◦ p o ⁵³
7154	Gangte	GAN	chin		gang1266	tree	90	thiŋ	thiŋ	1513	1513:tree	20	0		303	tʰ i ŋ
7155	Pochuri	POC	naga		poch1243	tree	90	athso	athso	1513	1513:tree	20	0		303	a ◦ tʰ s o
7156	Idu	IDU	idu		idum1241	tree	90	ma.1 seŋ.1 boŋ.	ma¹_seŋ¹_boŋ	241	241:tree	20	0		605	m a ¹ ◦ s e ŋ ¹ ◦ b o ŋ
7157	Rourou	ROU	nung		nusu1239	tree	90	sæ.42 cẽ.33	sæ⁴²_cẽ³³	4196	4196:tree	20	0		1007	s æ ⁴² ◦ ts ẽ ∼ ³³
7158	Khezhama	KHE	naga		khez1235	tree	90	cɨ=bo	cɨbo	241	241:tree	20	0		605	ts ɨ ◦ b o
7159	Pa'O	PAO	kar	Karen	paok1235	tree	90	seŋ.44.55 mɨ.55	seŋ⁴⁴⁵⁵_mɨ⁵⁵	2759	2759:tree	20	0		807	s e ŋ ⁴⁴/⁵⁵ ◦ m ɨ ⁵⁵
7160	Yamphu	YAM	kir		yamp1242	tree	90	siŋ=bu	siŋbu	241	241:tree	20	0		605	s i ŋ ◦ b u
7161	Ersu	ERS	syc		ersu1241	tree	90	si.55 pu.55	si⁵⁵_pu⁵⁵	1513	1513:tree	20	0		303	s i ⁵⁵ ◦ p u ⁵⁵
7162	Ao-Mongsen	AOM	naga	Naga (Ao_Naga)	mong1332	tree	90	asuŋ, suŋ=tuŋ	asuŋ	1057	1057:tree	20	0	Naga Ao	129	a ◦ s u ŋ
7163	Nusu	NUS	nung		nusu1239	tree	90	si.53 ʒə̃.35 a	si⁵³_ʒə̃³⁵_a	4196	4196:tree	20	0	Stage 2	1007	s i ⁵³ ◦ ʒ ə̃ ∼ ³⁵ ◦ a
7164	Written Tibetan	WRT	tib	Tibetan	tibe1272	tree	90	śiŋ sdoŋ	śiŋ_sdoŋ	1057	1057:tree	20	0		129	sʲ i ŋ _ s ◦ d o ŋ
7165	Lhasa Tibetan	LHA	tib	Tibetan	tibe1272	tree	90	śiŋ.53 tuŋ.55	śiŋ⁵³_tuŋ⁵⁵	1057	1057:tree	20	0		129	sʲ i ŋ ⁵³ ◦ t u ŋ ⁵⁵
7166	Limbu	LIM	kir		limb1266	tree	90	siN=bo:N	siNboːN	241	241:tree	20	0		605	s i ◦ b oː
7167	Namuzi	NAM	syc		namu1246	tree	90	sɨ.33 po.55	sɨ³³_po⁵⁵	1513	1513:tree	20	0		303	s ɨ ³³ ◦ p o ⁵⁵
7168	Lüsu	LUS	syc		lisu1250	tree	90	se.33 pu.53	se³³_pu⁵³	1513	1513:tree	20	0		303	s e ³³ ◦ p u ⁵³
7169	Yimchunrü	YIM	naga	Naga (Ao_Naga)	yimc1240	tree	90	saŋ=tuŋ	saŋtuŋ	1057	1057:tree	20	0	Naga Yimchungru	129	s a ŋ ◦ t u ŋ
7170	Liangmai	LIA	naga		lian1251	tree	90	šiŋ=baŋ	šiŋbaŋ	241	241:tree	20	0		605	ʃ i ŋ ◦ b a ŋ
7171	Yeinbaw	YEI	kar	Karen	yinb1236	tree	90	θɨ̃.11 mɨ.11	θɨ̃¹¹_mɨ¹¹	2759	2759:tree	20	0	Yinbaw Karen	807	θ ɨ̃ ∼ ¹¹ ◦ m ɨ ¹¹
7172	Zeme	ZEM	naga		zeme1240	tree	90	hiŋ=baŋ	hiŋbaŋ	241	241:tree	20	0		605	h i ŋ ◦ b a ŋ
7173	Bodo	BOD	bodo		bodo1269	tree	90	bompaŋ, bompoŋ	bompaŋ	50	50:tree	20	0		1357	b o m ◦ p a ŋ
7174	Burmese	WRB	bur	Burmese	nucl1310	tree	90	sac paŋ	sac_paŋ	241	241:tree	20	0		605	s a ts _ p a ŋ
7175	Ao-Chungli	AOC	naga	Naga (Ao_Naga)	chon1286	tree	90	sɨŋ=doŋ	sɨŋdoŋ	1057	1057:tree	20	0	Naga Ao	129	s ɨ ŋ ◦ d o ŋ
7176	Guiqiong	GUI	syc		guiq1238	tree	90	sɛ̃.33 po.53	sɛ̃³³_po⁵³	1513	1513:tree	20	0		303	s ɛ̃ ∼ ³³ ◦ p o ⁵³
7177	Quueyu	QUE	syc		quey1238	two	91	ńi.55	ńi⁵⁵	580	580:two	20	0		1393	nʲ i ⁵⁵
7178	Dhimal	DHI	dhim		dhim1246	two	91	nhe=loŋ	nheloŋ	580	580:two	20	0		1393	nʰ e ◦ l o ŋ
7179	Apatari	APA	tani		apat1240	two	91	àńi, táńe	àńi	580	580:two	20	0		1393	a ◦ nʲ i
7181	Jirel	JIR	tib		jire1238	two	91	ńi. T2	ńi_T²	580	580:two	20	0		1393	nʲ i _ ²
7182	Old Chinese	OCH	sino	Han	oldc1244	two	91	nĳ=s 二	nĳs	580	580:two	-10	0		1393	n i j s
7183	Idu	IDU	idu		idum1241	two	91	ka.3 ni.1	ka³_ni¹	580	580:two	20	0		1393	k a ³ ◦ n i ¹
7184	Lhota	LHO	naga	Naga (Ao_Naga)	loth1237	two	91	eni, o:ni	eni	580	580:two	20	0	Naga Lotha	1393	e ◦ n i
7185	Lushai	LSH	chin		lush1249	two	91	pahni	pahni	580	580:two	20	0		1393	p a ◦ h n i
7186	Lepcha	LEP	lep		lepc1244	two	91	nyăt	nyăt	580	580:two	20	0		1393	n y a t
7187	Sgaw	SGO	kar	Karen	sgaw1245	two	91	khi.44	khi⁴⁴	2760	2760:two	20	0		808	kʰ i ⁴⁴
7188	Rourou	ROU	nung		nusu1239	two	91	næ.42	næ⁴²	580	580:two	20	0		1393	n æ ⁴²
7189	Chokri	CHO	naga		chok1243	two	91	kɨna	kɨna	580	580:two	20	0		1393	k ɨ ◦ n a
7190	Khezhama	KHE	naga		khez1235	two	91	kenhi	kenhi	580	580:two	20	0		1393	k e ◦ nʰ i
7191	Dulong	DUL	trun		drun1238	two	91	a.31 ni.55	a³¹_ni⁵⁵	580	580:two	20	0		1393	a ³¹ ◦ n i ⁵⁵
7192	Tangkul	TAN	naga		tang1336	two	91	khani	khani	580	580:two	20	0		1393	kʰ a ◦ n i
7193	Pa'O	PAO	kar	Karen	paok1235	two	91	lo.44 vaŋ.44 ni	lo⁴⁴_vaŋ⁴⁴_ni	580	580:two	20	0		1393	l o ⁴⁴ ◦ v a ŋ ⁴⁴ ◦ n i
7194	Yamphu	YAM	kir		yamp1242	two	91	nici	nici	580	580:two	20	0		1393	n i ◦ ts i
7195	Kulung	KUL	kir		kulu1253	two	91	nici	nici	580	580:two	20	0		1393	n i ◦ ts i
7196	Geker	GEK	kar	Karen	geko1235	two	91	ṭənɨʔ.53	ṭənɨʔ⁵³	580	580:two	20	0	Geko Karen?	1393	ʈ ə ◦ n ɨ ʔ ⁵³
7197	Ersu	ERS	syc		ersu1241	two	91	nɛ.55	nɛ⁵⁵	580	580:two	20	0		1393	n ɛ ⁵⁵
7198	Phom	PHO	knyk		phom1236	two	91	ńi	ńi	580	580:two	20	0		1393	nʲ i
7199	Ao-Mongsen	AOM	naga	Naga (Ao_Naga)	mong1332	two	91	anet	anet	580	580:two	20	0	Naga Ao	1393	a ◦ n e t
7200	Sherpa	SHE	tib	Sherpa	sher1255	two	91	ŋyi. LF	ŋyi_LF	580	580:two	20	0	Solu-Khumbu Sherpa	1393	ŋ y i
7201	Rawang	RAW	trun		rawa1265	two	91	əni	əni	580	580:two	20	0		1393	ə ◦ n i
7202	Wancho	WAN	knyk		wanc1238	two	91	ani	ani	580	580:two	20	0		1393	a ◦ n i
7203	Bokar	BOK	tani		bori1243	two	91	a ńi	a_ńi	580	580:two	20	0	Stage 2	1393	a _ nʲ i
7204	Hmar	HMA	chin		hmar1241	two	91	pahni	pahni	580	580:two	20	0		1393	p a ◦ h n i
7205	Nusu	NUS	nung		nusu1239	two	91	m.55	m⁵⁵	580	580:two	20	0	Stage 2	1393	m ⁵⁵
7206	Geba	GEB	kar	Karen	geba1237	two	91	tʃi.22 bwɛ.33	tʃi²²_bwɛ³³	4508	4508:two	20	0		1249	tʃ i ²² ◦ b w ɛ ³³
7207	Manu	MNU	kar	Karen	manu1255	two	91	sɔ.33 ḳə.11 ńe	sɔ³³_ḳə¹¹_ńe	580	580:two	20	0	Manumanaw Karen	1393	s ɔ ³³ ◦ kʲ ə ¹¹ ◦ nʲ e
7208	Alike Tibetan	ALI	tib		amdo1237	two	91	ɣńi	ɣńi	580	580:two	20	0		1393	ɣ nʲ i
7209	Shixing	SHI	syc		shix1238	two	91	ńɛ.33	ńɛ³³	580	580:two	20	0		1393	nʲ ɛ ³³
7210	Aka	AKA	aka		akha1245	two	91	ksi	ksi	580	580:two	20	0		1393	k s i
7211	Nocte	NOC	knyk		noct1238	two	91	vańi	vańi	580	580:two	20	0		1393	v a ◦ nʲ i
7212	Ninglang-Naxi	NIN	bur	Naxi	naxi1245	two	91	ńi.33	ńi³³	580	580:two	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	1393	nʲ i ³³
7213	Khaling	KLN	kir		khal1275	two	91	sahpu.H	sahpuH	4392	4392:two	20	0		1161	s a h ◦ p u
7214	Langsu-Maru	LAN	bur		maru1249	two	91	ʃi̲k.55	ʃi̲k⁵⁵	580	580:two	20	0		1393	ʃ ḭ k ⁵⁵
7215	W. Kayah	KYH	kar	Karen	west2409	two	91	ńiẹ.33 prɛ̣.1	ńiẹ³³_prɛ̣¹	580	580:two	20	0	Kayah Western	1393	nʲ i ḛ ³³ ◦ p r ɛ̰ ¹
7216	Written Tibetan	WRT	tib	Tibetan	tibe1272	two	91	gńis	gńis	580	580:two	20	0		1393	g nʲ i s
7217	Nishi	NIS	tani	Nysha	nisi1238	two	91	eńi	eńi	580	580:two	20	0	Nisi?	1393	e ◦ nʲ i
7218	Batang Tibetan	BAT	tib		kham1282	two	91	ńi.55	ńi⁵⁵	580	580:two	20	0		1393	nʲ i ⁵⁵
7219	Dumi	DUM	kir		dumi1241	two	91	nɨ	nɨ	580	580:two	20	0		1393	n ɨ
7220	Gurung	GUR	gur		guru1261	two	91	ŋxĩ.2	ŋxĩ²	580	580:two	20	0		1393	ŋ x ĩ ∼ ²
7221	Lhasa Tibetan	LHA	tib	Tibetan	tibe1272	two	91	ńi.55	ńi⁵⁵	580	580:two	20	0		1393	nʲ i ⁵⁵
7222	Garo	GAR	bodo	Garo	garo1247	two	91	gni	gni	580	580:two	20	0		1393	g n i
7223	Hill-Miri	HIL	tani	Nysha	nyis1236	two	91	ańi	ańi	580	580:two	20	0		1393	a ◦ nʲ i
7224	Limbu	LIM	kir		limb1266	two	91	nɛchi	nɛchi	580	580:two	20	0		1393	n ɛ ◦ tsʰ i
7225	Upper-Bangni	UBA	tani		bang1338	two	91	ain	ain	580	580:two	20	0		1393	a i n
7226	Leqi	LEQ	bur		lash1243	two	91	ə̲k.55	ə̲k⁵⁵	580	580:two	20	0		1393	ə k ⁵⁵
7227	Hakka	HKK	sino	Hakka	hakk1236	two	91	ŋi4	ŋi⁴	580	580:two	20	0		1393	ŋ i ⁴
7228	Motuo-M	MOT	mot	Tibetan	dakp1242	two	91	ńik caŋ	ńik_caŋ	580	580:two	20	0	Tawang Monpa, Dakpakha?	1393	nʲ i k _ ts a ŋ
7229	Tujia	TUJ	tujia	Tujia	nort2732	two	91	ńie.1	ńie¹	580	580:two	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	1393	nʲ i e ¹
7230	Beijing	PEK	sino	CHB	mand1415	two	91	èr 二	èr	580	580:two	20	0		1393	e r
7231	Zhaba	ZHA	syc		zhab1238	two	91	i.55	i⁵⁵	580	580:two	20	0	Stage 2	1393	i ⁵⁵
7232	Kaike	KAY	kay		kaik1246	two	91	ŋhyi	ŋhyi	580	580:two	20	0		1393	ŋʰ y i
7233	Yintale	YIN	kar	Karen	yint1235	two	91	ńe.33	ńe³³	580	580:two	20	0	Yintale Karen	1393	nʲ e ³³
7234	Jinuo	JIN	bur	Jinuo	youl1235	two	91	ni.55	ni⁵⁵	580	580:two	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	1393	n i ⁵⁵
7235	Serdukpen	SER	sul		sher1257	two	91	ńit	ńit	580	580:two	20	0	Stage 2	1393	nʲ i t
7236	Namuzi	NAM	syc		namu1246	two	91	ńi.53	ńi⁵³	580	580:two	20	0		1393	nʲ i ⁵³
7237	Xiaxe Tibetan	XIA	tib		amdo1237	two	91	hńi	hńi	580	580:two	20	0		1393	h nʲ i
7238	Lüsu	LUS	syc		lisu1250	two	91	ne.55	ne⁵⁵	580	580:two	20	0		1393	n e ⁵⁵
7239	Yimchunrü	YIM	naga	Naga (Ao_Naga)	yimc1240	two	91	manie	manie	580	580:two	20	0	Naga Yimchungru	1393	m a ◦ n i e
7240	Liangmai	LIA	naga		lian1251	two	91	nia	nia	580	580:two	20	0		1393	n i a
7241	Dimasa	DIM	bodo		dima1251	two	91	gini	gini	580	580:two	20	0		1393	g i ◦ n i
7242	Yeinbaw	YEI	kar	Karen	yinb1236	two	91	θv.44 ŋv.44	θv⁴⁴_ŋv⁴⁴	580	580:two	20	0	Yinbaw Karen	1393	θ v ⁴⁴ ◦ ŋ v ⁴⁴
7243	N-Qiang	QIA	syc		nort2722	two	91	ɣnə	ɣnə	580	580:two	20	0	Stage 2	1393	ɣ n ə
7244	Lijiang-Naxi	LIJ	bur	Naxi	lich1241	two	91	ńi.13	ńi¹³	580	580:two	20	0	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245	1393	nʲ i ¹³
7245	Zeme	ZEM	naga		zeme1240	two	91	kena	kena	580	580:two	20	0		1393	k e ◦ n a
7246	Jingpo	JNP	jnp		kach1280	two	91	lə.55 khoŋ.51	lə⁵⁵_khoŋ⁵¹	2760	2760:two	20	0	Jinghpaw; Stage 2	808	l ə ⁵⁵ ◦ kʰ o ŋ ⁵¹
7247	Bodo	BOD	bodo		bodo1269	two	91	nəj	nəj	580	580:two	20	0		1393	n ə j
7248	Fuzhou	FUZ	sino	Han	mind1253	two	91	nei242, naŋ242,	nei²⁴²	580	580:two	20	0		1393	n e i ² ◦ ⁴²
7249	Burmese	WRB	bur	Burmese	nucl1310	two	91	hnac	hnac	580	580:two	20	0		1393	h n a ts
7250	Horpa	DAO	syc		horp1239	two	91	ənə	ənə	580	580:two	20	0		1393	ə ◦ n ə
7251	Ao-Chungli	AOC	naga	Naga (Ao_Naga)	chon1286	two	91	ana	ana	580	580:two	20	0	Naga Ao	1393	a ◦ n a
7252	Padam	PAD	tani		pada1257	two	91	a-ńi	a-ńi	580	580:two	19	0		1393	a + nʲ i
7253	Bola	BOL	bur		pela1242	two	91	i̲.35	i̲³⁵	580	580:two	20	0		1393	ḭ ³⁵
7254	Guiqiong	GUI	syc		guiq1238	two	91	ńi.33	ńi³³	580	580:two	20	0		1393	nʲ i ³³
7255	Gangte	GAN	chin		gang1266	two	91	nih	nih	580	580:two	20	0		1393	n i h
7256	Pochuri	POC	naga		poch1243	two	91	kɨni	kɨni	580	580:two	20	0		1393	k ɨ ◦ n i
7257	Quueyu	QUE	syc		quey1238	walk (go)	92	pʃi.55	pʃi⁵⁵	1631	1631:walk (go)	20	0		352	p ʃ i ⁵⁵
7259	Apatari	APA	tani		apat1240	walk (go)	92	iŋ	iŋ	2762	2762:walk (go)	20	0		810	i ŋ
7260	Jianchuan Bai	BAI	sino		jian1239	walk (go)	92	pe.44	pe⁴⁴	196	196:walk (go)	20	0		469	p e ⁴⁴
7261	Jirel	JIR	tib		jire1238	walk (go)	92	khyam. L2-	khyam_L²	1706	1706:walk (go)	20	0		385	kʰ y a m _ ²
7262	Old Chinese	OCH	sino	Han	oldc1244	walk (go)	92	gāŋ (-r-) 行	gāŋ_	2234	2234:walk (go)	-10	0		555	g aː ŋ
7263	Idu	IDU	idu		idum1241	walk (go)	92	ćho.4	ćho⁴	1388	1388:walk (go)	20	0		246	tsʲʰ o ⁴
7264	Lhota	LHO	naga	Naga (Ao_Naga)	loth1237	walk (go)	92	wo	wo	2012	2012:walk (go)	20	0	Naga Lotha	486	w o
7265	Lushai	LSH	chin		lush1249	walk (go)	92	kal	kal	2289	2289:walk (go)	20	0		571	k a l
7266	Lepcha	LEP	lep		lepc1244	walk (go)	92	nóŋ	nóŋ	548	548:walk (go)	20	0		1376	n o ŋ
7267	Sgaw	SGO	kar	Karen	sgaw1245	walk (go)	92	hãʔ.53	hãʔ⁵³	2012	2012:walk (go)	20	0		486	h ã ∼ ʔ ⁵³
7268	Rourou	ROU	nung		nusu1239	walk (go)	92	sɨ.31	sɨ³¹	1631	1631:walk (go)	20	0		352	s ɨ ³¹
7269	Chokri	CHO	naga		chok1243	walk (go)	92	vo	vo	2012	2012:walk (go)	20	0		486	v o
7270	Khezhama	KHE	naga		khez1235	walk (go)	92	wu	wu	2012	2012:walk (go)	20	0		486	w u
7271	Dulong	DUL	trun		drun1238	walk (go)	92	a.31 gɨi.55	a³¹_gɨi⁵⁵	2706	2706:walk (go)	20	0		736	a ³¹ ◦ g ɨ i ⁵⁵
7272	Tangkul	TAN	naga		tang1336	walk (go)	92	zat	zat	1250	1250:walk (go)	20	0		213	z a t
7273	Pa'O	PAO	kar	Karen	paok1235	walk (go)	92	loj.22.22	loj²²²²	1868	1868:walk (go)	20	0		442	l o j ²²/²²
7275	Kulung	KUL	kir		kulu1253	walk (go)	92	khat-, khai-, k	khat-	2553	2553:walk (go)	20	0		646	kʰ a t +
7276	Geker	GEK	kar	Karen	geko1235	walk (go)	92	b̄a.55 lʌi.51	b̄a⁵⁵_lʌi⁵¹	1868	1868:walk (go)	20	0	Geko Karen?	442	b̄ a ⁵⁵ ◦ l ʌ i ⁵¹
7277	Ersu	ERS	syc		ersu1241	walk (go)	92	ṣɨ.33 ṣɨ.55	ṣɨ³³_ṣɨ⁵⁵	1631	1631:walk (go)	20	0		352	ʂ ɨ ³³ ◦ ʂ ɨ ⁵⁵
7278	Phom	PHO	knyk		phom1236	walk (go)	92	dai	dai	2761	2761:walk (go)	20	0		809	d a i
7279	Ao-Mongsen	AOM	naga	Naga (Ao_Naga)	mong1332	walk (go)	92	wa	wa	2012	2012:walk (go)	20	0	Naga Ao	486	w a
7280	Sherpa	SHE	tib	Sherpa	sher1255	walk (go)	92	khyam. LR-	khyam_LR	1706	1706:walk (go)	20	0	Solu-Khumbu Sherpa	385	kʰ y a m
7281	Wancho	WAN	knyk		wanc1238	walk (go)	92	pau	pau	2217	2217:walk (go)	20	0		551	p a u
7282	Bokar	BOK	tani		bori1243	walk (go)	92	in	in	2762	2762:walk (go)	20	0	Stage 2	810	i n
7283	Rabha	RAB	bodo		rabh1238	walk (go)	92	réŋ-a	réŋ-a	635	635:walk (go)	20	0		1418	r e ŋ + a
7284	Hmar	HMA	chin		hmar1241	walk (go)	92	fe	fe	1388	1388:walk (go)	20	0		246	f e
7286	Geba	GEB	kar	Karen	geba1237	walk (go)	92	hɛʔ.53	hɛʔ⁵³	2012	2012:walk (go)	20	0		486	h ɛ ʔ ⁵³
7287	Manu	MNU	kar	Karen	manu1255	walk (go)	92	co.33	co³³	1388	1388:walk (go)	20	0	Manumanaw Karen	246	ts o ³³
7288	Alike Tibetan	ALI	tib		amdo1237	walk (go)	92	nʒjo	nʒjo	2234	2234:walk (go)	20	0		555	n ʒ j o
7289	Shixing	SHI	syc		shix1238	walk (go)	92	bi.35	bi³⁵	196	196:walk (go)	20	0		469	b i ³⁵
