DOCULECT	GLOTTOCODE	CONCEPTICON_ID	CONCEPT	GLOSSID	FORM	COGID	TOKENS	NOTE
Yeinbaw	yinb1236	1442	STAND	79	ʃhə¹¹_na⁵⁵	81	ʃʰ ə ¹¹ _ n a ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	1442	STAND	79	yuŋ→li	334	y u ŋ + l i	Naga Ao
Yimchunrü	yimc1240	1442	STAND	79	žip	602	dʒ i p	Naga Yimchungru
Burmese	nucl1310	1442	STAND	79	rap	602	r a p	
Lhasa Tibetan	tibe1272	1442	STAND	79	laŋ¹³	197	l a ŋ ¹³	
Nishi	nisi1238	1430	STAR	80	takar	281	t a k a r	Nisi?
Geker	geko1235	1430	STAR	80	shaʔ⁵³	46	sʰ a ʔ ⁵³	Geko Karen?
Geba	geba1237	1430	STAR	80	sjɛ⁴⁴	46	s j ɛ ⁴⁴	
Lijiang-Naxi	lich1241	1430	STAR	80	kɨ³¹	281	k ɨ ³¹	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1430	STAR	80	pu⁴⁴_ki⁴⁴	281	p u ⁴⁴ _ k i ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1430	STAR	80	kar_mi	281	k a r _ m i	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1430	STAR	80	shãʔ⁵³	46	sʰ ã ∼ ʔ ⁵³	
Lhota	loth1237	1430	STAR	80	šaːntiːwo	471	ʃ aː n t iː w o	Naga Lotha
Tujia	nort2732	1430	STAR	80	si¹_zi⁴_pu⁴	534	s i ¹ _ z i ⁴ _ p u ⁴	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1430	STAR	80	la⁵⁵_sa³³	46	l a ⁵⁵ _ s a ³³	Yintale Karen
Hill-Miri	nyis1236	1430	STAR	80	takar	281	t a k a r	
Pa'O	paok1235	1430	STAR	80	cha⁴⁴⁵⁵	46	tsʰ a ⁴⁴/⁵⁵	
W. Kayah	west2409	1430	STAR	80	shɛ¹¹	46	sʰ ɛ ¹¹	Kayah Western
Written Tibetan	tibe1272	1430	STAR	80	skar_ma	281	s k a r _ m a	
Ninglang-Naxi	naxi1245	1430	STAR	80	kɨ³³	281	k ɨ ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1430	STAR	80	petinɨ	471	p e t i n ɨ	Naga Ao
Garo	garo1247	1430	STAR	80	aski	281	a s k i	
Sherpa	sher1255	1430	STAR	80	kar→mɛHF	281	k a r + m ɛ	Solu-Khumbu Sherpa
Manu	manu1255	1430	STAR	80	sha⁵⁵²²	46	sʰ a ⁵⁵/²²	Manumanaw Karen
Yeinbaw	yinb1236	1430	STAR	80	sha¹¹	46	sʰ a ¹¹	Yinbaw Karen
Ao-Mongsen	mong1332	1430	STAR	80	peti	471	p e t i	Naga Ao
Yimchunrü	yimc1240	1430	STAR	80	chiniŋ	107	tsʰ i n i ŋ	Naga Yimchungru
Burmese	nucl1310	1430	STAR	80	kraj	281	k r a j	
Lhasa Tibetan	tibe1272	1430	STAR	80	kaː⁵⁵_ma⁵⁵	281	k aː ⁵⁵ _ m a ⁵⁵	
Kusunda	kusu1250	1430	STAR	1	saʕm	0	s a ʕ m	
Nishi	nisi1238	857	STONE	81	əli	189	ə l i	Nisi?
Geker	geko1235	857	STONE	81	ləoʔ⁵³	189	l ə o ʔ ⁵³	Geko Karen?
Geba	geba1237	857	STONE	81	loʔ⁵³	189	l o ʔ ⁵³	
Lijiang-Naxi	lich1241	857	STONE	81	lv³³_pa³³	189	l v ³³ _ p a ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	857	STONE	81	lo⁴²_mɔ³³	189	l o ⁴² _ m ɔ ³³	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	857	STONE	81	luŋ	189	l u ŋ	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	857	STONE	81	lə̣⁵¹	189	l ə̰ ⁵¹	
Lhota	loth1237	857	STONE	81	oːluːŋ,_oːnuːŋ	189	oː + l uː ŋ	Naga Lotha
Tujia	nort2732	857	STONE	81	ɣa⁴_pa⁴	215	ɣ a ⁴ _ p a ⁴	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	857	STONE	81	ləvw¹¹	189	l ə v w ¹¹	Yintale Karen
Hill-Miri	nyis1236	857	STONE	81	yilɨ	189	y i l ɨ	
Pa'O	paok1235	857	STONE	81	louŋ⁵⁵²²	189	l o u ŋ ⁵⁵/²²	
W. Kayah	west2409	857	STONE	81	lɔ̣⁴⁴	189	l ɔ̰ ⁴⁴	Kayah Western
Written Tibetan	tibe1272	857	STONE	81	rdo	618	r d o	
Ninglang-Naxi	naxi1245	857	STONE	81	lv³³_mi³³	189	l v ³³ _ m i ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	857	STONE	81	luŋ	189	l u ŋ	Naga Ao
Garo	garo1247	857	STONE	81	ro-oŋ	189	r o + o ŋ	
Sherpa	sher1255	857	STONE	81	do_LF	618	d o	Solu-Khumbu Sherpa
Manu	manu1255	857	STONE	81	lø̣⁴⁴⁵⁵	189	l ø̰ ⁴⁴/⁵⁵	Manumanaw Karen
Yeinbaw	yinb1236	857	STONE	81	lṿo¹¹_phɔ⁵⁵	189	l v̩ o ¹¹ _ pʰ ɔ ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	857	STONE	81	aluŋ	189	a l u ŋ	Naga Ao
Yimchunrü	yimc1240	857	STONE	81	luŋ	189	l u ŋ	Naga Yimchungru
Burmese	nucl1310	857	STONE	81	kjauk	189	k j a u k	
Lhasa Tibetan	tibe1272	857	STONE	81	to¹³	618	t o ¹³	
Kusunda	kusu1250	857	STONE	4	iŋgo	0	i ŋ g o	
Nishi	nisi1238	1343	SUN	82	dońi	570	d o nʲ i	Nisi?
Geker	geko1235	1343	SUN	82	məɨʔ⁵³	40	m ə ɨ ʔ ⁵³	Geko Karen?
Geba	geba1237	1343	SUN	82	lu²²_mu²²	40	l u ²² _ m u ²²	
Lijiang-Naxi	lich1241	1343	SUN	82	ńi³³_me³³	570	nʲ i ³³ _ m e ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1343	SUN	82	ńə⁴²_ɔ³³	570	nʲ ə ⁴² _ ɔ ³³	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1343	SUN	82	ŋam	570	ŋ a m	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1343	SUN	82	mɨ¹¹	40	m ɨ ¹¹	
Lhota	loth1237	1343	SUN	82	eŋi	570	e ŋ i	Naga Lotha
Tujia	nort2732	1343	SUN	82	lau⁴_chi⁴	74	l a u ⁴ _ tsʰ i ⁴	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1343	SUN	82	tə¹¹_məv¹¹	40	t ə ¹¹ _ m ə v ¹¹	Yintale Karen
Hill-Miri	nyis1236	1343	SUN	82	duńi	570	d u nʲ i	
Pa'O	paok1235	1343	SUN	82	mɨ⁵⁵²²	40	m ɨ ⁵⁵/²²	
W. Kayah	west2409	1343	SUN	82	təmɔ⁴⁴̣	40	t ə m ɔ ⁴⁴	Kayah Western
Written Tibetan	tibe1272	1343	SUN	82	ńi_ma	570	nʲ i _ m a	
Ninglang-Naxi	naxi1245	1343	SUN	82	ńi³³_mi³³	570	nʲ i ³³ _ m i ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1343	SUN	82	anɨ	570	a n ɨ	Naga Ao
Garo	garo1247	1343	SUN	82	sal	46	s a l	
Sherpa	sher1255	1343	SUN	82	ŋyi→ma_LF	570	ŋ y i + m a	Solu-Khumbu Sherpa
Manu	manu1255	1343	SUN	82	lụ-mọ⁴⁴²²	40	l ṵ + m o̰ ⁴⁴/²²	Manumanaw Karen
Yeinbaw	yinb1236	1343	SUN	82	lv⁴⁴__mụ¹¹	40	l v ⁴⁴ _ m ṵ ¹¹	Yinbaw Karen
Ao-Mongsen	mong1332	1343	SUN	82	cuŋi	570	ts u ŋ i	Naga Ao
Yimchunrü	yimc1240	1343	SUN	82	ani	570	a n i	Naga Yimchungru
Burmese	nucl1310	1343	SUN	82	ne	570	n e	
Lhasa Tibetan	tibe1272	1343	SUN	82	ńi¹³_mə⁵⁵	570	nʲ i ¹³ _ m ə ⁵⁵	
Nishi	nisi1238	1439	SWIM	83	ʒa	141	ʒ a	Nisi?
Geker	geko1235	1439	SWIM	83	wa⁵¹_shɣɨ⁴⁴	350	w a ⁵¹ _ sʰ ɣ ɨ ⁴⁴	Geko Karen?
Geba	geba1237	1439	SWIM	83	p̯ɔ²²_thi⁴⁴	503	p̯ ɔ ²² _ tʰ i ⁴⁴	
Sgaw	sgaw1245	1439	SWIM	83	p̯ɔ⁴⁴	503	p̯ ɔ ⁴⁴	
Lhota	loth1237	1439	SWIM	83	oːchhɨ_hu	501	oː tʃʰ ɨ _ h u	Naga Lotha
Tujia	nort2732	1439	SWIM	83	chie⁴_ca¹	141	tsʰ i e ⁴ _ ts a ¹	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1439	SWIM	83	ta¹¹_ja¹¹	100	t a ¹¹ _ j a ¹¹	Yintale Karen
Hill-Miri	nyis1236	1439	SWIM	83	ʒa	141	ʒ a	
Pa'O	paok1235	1439	SWIM	83	ja⁵⁵⁵⁵_thi⁴⁴	100	j a ⁵⁵/⁵⁵ _ tʰ i ⁴⁴	
W. Kayah	west2409	1439	SWIM	83	təźɛ⁴⁴_thie³	100	t ə zʲ ɛ ⁴⁴ _ tʰ i e ³	Kayah Western
Written Tibetan	tibe1272	1439	SWIM	83	rkjal	260	r k j a l	
Ao-Chungli	chon1286	1439	SWIM	83	awa	501	a w a	Naga Ao
Sherpa	sher1255	1439	SWIM	83	cal_LF_ge_LF-	260	ts a l _ g e +	Solu-Khumbu Sherpa
Manu	manu1255	1439	SWIM	83	kɔ³³_jɔ̣⁴⁴_ʃ	100	k ɔ ³³ _ j ɔ̰ ⁴⁴ _ ʃ	Manumanaw Karen
Yeinbaw	yinb1236	1439	SWIM	83	wạ̃¹¹_ʃhɨ⁵⁵	350	w ã̰ ∼ ¹¹ _ ʃʰ ɨ ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	1439	SWIM	83	acɨ-wa	501	a ts ɨ + w a	Naga Ao
Burmese	nucl1310	1439	SWIM	83	_kuː	228	k uː	
Lhasa Tibetan	tibe1272	1439	SWIM	83	cɛ⁵⁵	260	ts ɛ ⁵⁵	
Nishi	nisi1238	1220	TAIL	84	irim	89	i r i m	Nisi?
Geker	geko1235	1220	TAIL	84	kau¹¹_mi¹¹	89	k a u ¹¹ _ m i ¹¹	Geko Karen?
Geba	geba1237	1220	TAIL	84	kəmẹ̃i⁴⁴	89	k ə m ḛ̃ ∼ i ⁴⁴	
Lijiang-Naxi	lich1241	1220	TAIL	84	_ńi⁴⁴	89	nʲ i ⁴⁴	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1220	TAIL	84	ńi³¹_ćhõ⁵	89	nʲ i ³¹ _ tsʲʰ õ ∼ ⁵	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1220	TAIL	84	mer_L	89	m e r _	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1220	TAIL	84	lie⁴_phoŋ³	535	l i e ⁴ _ pʰ o ŋ ³	
Tujia	nort2732	1220	TAIL	84	pöncĕniŋ	535	p ö n ts ĕ n i ŋ	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1220	TAIL	84	ʔəmɛ̃²²	89	ʔ ə m ɛ̃ ∼ ²²	Yintale Karen
Hill-Miri	nyis1236	1220	TAIL	84	ńabuŋ	89	nʲ a b u ŋ	
Pa'O	paok1235	1220	TAIL	84	kəmẹ¹¹	89	k ə m ḛ ¹¹	
W. Kayah	west2409	1220	TAIL	84	me³¹	89	m e ³¹	Kayah Western
Written Tibetan	tibe1272	1220	TAIL	84	hŋa_ma	430	h ŋ a _ m a	
Ninglang-Naxi	naxi1245	1220	TAIL	84	mhui³¹_pɔ⁵⁵_E	89	mʰ u i ³¹ _ p ɔ ⁵⁵ _	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1220	TAIL	84	kume	89	k u m e	Naga Ao
Garo	garo1247	1220	TAIL	84	uńiei	89	u nʲ i e i	
Sherpa	sher1255	1220	TAIL	84	miːluB	89	m iː l u	Solu-Khumbu Sherpa
Manu	manu1255	1220	TAIL	84	ʔəmɛ²²_ko⁴⁴	89	ʔ ə m ɛ ²² _ k o ⁴⁴	Manumanaw Karen
Yeinbaw	yinb1236	1220	TAIL	84	kɔ¹¹_mẹ³³²²	89	k ɔ ¹¹ _ m ḛ ³³/²²	Yinbaw Karen
Yimchunrü	yimc1240	1220	TAIL	84	imi	89	i m i	Naga Yimchungru
Burmese	nucl1310	1220	TAIL	84	ćhi³¹_ńaŋ³	89	tsʲʰ i ³¹ _ nʲ a ŋ ³	
Lhasa Tibetan	tibe1272	1220	TAIL	84	rŋa_mä	430	r ŋ a _ m æ	
Kusunda	kusu1250	1220	TAIL	51	go̤qba	0	g o̤ q b a	
Nishi	nisi1238	78	THAT	85	alo-ə	155	a l o + ə	Nisi?
Geker	geko1235	78	THAT	85	ʔu⁴⁴_lɔ³³	352	ʔ u ⁴⁴ _ l ɔ ³³	Geko Karen?
Geba	geba1237	78	THAT	85	ʔəno³³	351	ʔ ə n o ³³	
Lijiang-Naxi	lich1241	78	THAT	85	thɨ³³	616	tʰ ɨ ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	78	THAT	85	khə⁵⁵	225	kʰ ə ⁵⁵	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	78	THAT	85	ʔu_ńi	351	ʔ u _ nʲ i	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	78	THAT	85	ʔəwe⁴⁴_ne²²	351	ʔ ə w e ⁴⁴ _ n e ²²	
Lhota	loth1237	78	THAT	85	oːchi	140	oː tsʰ i	Naga Lotha
Tujia	nort2732	78	THAT	85	ai¹	352	a i ¹	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	78	THAT	85	də⁵⁵_na⁵⁵_nɨ	351	d ə ⁵⁵ _ n a ⁵⁵ _ n ɨ	Yintale Karen
Hill-Miri	nyis1236	78	THAT	85	ə	352	ə	
Pa'O	paok1235	78	THAT	85	su²²²²	120	s u ²²/²²	
W. Kayah	west2409	78	THAT	85	nɨə̣¹¹	351	n ɨ ə̰ ¹¹	Kayah Western
Written Tibetan	tibe1272	78	THAT	85	de	397	d e	
Ninglang-Naxi	naxi1245	78	THAT	85	thv³³	616	tʰ v ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	78	THAT	85	aʒi	140	a ʒ i	Naga Ao
Garo	garo1247	78	THAT	85	ua	353	u a	
Sherpa	sher1255	78	THAT	85	t-i_LR	397	t + i	Solu-Khumbu Sherpa
Manu	manu1255	78	THAT	85	de⁴⁴_nu¹¹	351	d e ⁴⁴ _ n u ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	78	THAT	85	təʔo⁴⁴	352	t ə ʔ o ⁴⁴	Yinbaw Karen
Ao-Mongsen	mong1332	78	THAT	85	la	155	l a	Naga Ao
Yimchunrü	yimc1240	78	THAT	85	hu	353	h u	Naga Yimchungru
Burmese	nucl1310	78	THAT	85	thui	616	tʰ u i	
Lhasa Tibetan	tibe1272	78	THAT	85	phə⁵⁵_ki⁵⁵	225	pʰ ə ⁵⁵ _ k i ⁵⁵	
Yintale	yint1235	78	THAT	85	də⁵⁵_na⁵⁵_	616	d ə ⁵⁵ _ n a ⁵⁵	Yintale Karen
Manu	manu1255	78	THAT	85	de⁴⁴_nu¹¹	616	d e ⁴⁴ _ n u ¹¹	Manumanaw Karen
Kusunda	kusu1250	78	THAT	52	naʕ	0	n a ʕ	
Nishi	nisi1238	2249	THIN (OF SHAPE OF OBJECT)	107	aniyo	396	a n i y o	Nisi?
Geker	geko1235	2249	THIN (OF SHAPE OF OBJECT)	107	b̄əː⁵⁵	168	b̄ əː ⁵⁵	Geko Karen?
Geba	geba1237	2249	THIN (OF SHAPE OF OBJECT)	107	ʔəpu⁴⁴	168	ʔ ə p u ⁴⁴	
Lijiang-Naxi	lich1241	2249	THIN (OF SHAPE OF OBJECT)	107	mbe³³	168	m b e ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	2249	THIN (OF SHAPE OF OBJECT)	107	pɔ⁴⁴	168	p ɔ ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	2249	THIN (OF SHAPE OF OBJECT)	107	ba_lu	168	b a _ l u	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	2249	THIN (OF SHAPE OF OBJECT)	107	ʔəb̄ɨ⁴⁴	168	ʔ ə b̄ ɨ ⁴⁴	
Lhota	loth1237	2249	THIN (OF SHAPE OF OBJECT)	107	ep-	168	e p +	Naga Lotha
Tujia	nort2732	2249	THIN (OF SHAPE OF OBJECT)	107	sa⁴_sie³	538	s a ⁴ _ s i e ³	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	2249	THIN (OF SHAPE OF OBJECT)	107	buŋ³⁵	168	b u ŋ ³⁵	Yintale Karen
Pa'O	paok1235	2249	THIN (OF SHAPE OF OBJECT)	107	bɨ⁴⁴²²	168	b ɨ ⁴⁴/²²	
W. Kayah	west2409	2249	THIN (OF SHAPE OF OBJECT)	107	bɨ³³	168	b ɨ ³³	Kayah Western
Written Tibetan	tibe1272	2249	THIN (OF SHAPE OF OBJECT)	107	srab_po	108	s r a b _ p o	
Ninglang-Naxi	naxi1245	2249	THIN (OF SHAPE OF OBJECT)	107	bi³³	168	b i ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	2249	THIN (OF SHAPE OF OBJECT)	107	apu-apu	168	a p u + a p u	Naga Ao
Garo	garo1247	2249	THIN (OF SHAPE OF OBJECT)	107	ba→gipa	168	b a + g i p a	
Manu	manu1255	2249	THIN (OF SHAPE OF OBJECT)	107	kə¹¹_lạ¹¹_pi	168	k ə ¹¹ _ l a̰ ¹¹ _ p i	Manumanaw Karen
Yeinbaw	yinb1236	2249	THIN (OF SHAPE OF OBJECT)	107	prɨ̣⁴⁴	168	p r ɨ̰ ⁴⁴	Yinbaw Karen
Ao-Mongsen	mong1332	2249	THIN (OF SHAPE OF OBJECT)	107	apai	168	a p a i	Naga Ao
Burmese	nucl1310	2249	THIN (OF SHAPE OF OBJECT)	107	paː	168	p aː	
Lhasa Tibetan	tibe1272	2249	THIN (OF SHAPE OF OBJECT)	107	ćə⁵⁵_pu⁵⁵	108	tsʲ ə ⁵⁵ _ p u ⁵⁵	
Nishi	nisi1238	1214	THIS	86	si	120	s i	Nisi?
Geker	geko1235	1214	THIS	86	jəlɔ³³	200	j ə l ɔ ³³	Geko Karen?
Geba	geba1237	1214	THIS	86	ʔəjo³³	200	ʔ ə j o ³³	
Lijiang-Naxi	lich1241	1214	THIS	86	c̣hɨ³³	140	tʂʰ ɨ ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1214	THIS	86	će³³	140	tsʲ e ³³	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1214	THIS	86	ʔu_thi,_ʔuhu	616	ʔ u + tʰ i	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1214	THIS	86	ʔəwe⁴⁴_ʔi³³	200	ʔ ə w e ⁴⁴ _ ʔ i ³³	
Lhota	loth1237	1214	THIS	86	ši,_hi	200	ʃ i	Naga Lotha
Tujia	nort2732	1214	THIS	86	kai³	225	k a i ³	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1214	THIS	86	ʔɛ⁵⁵_nɨ¹¹	200	ʔ ɛ ⁵⁵ _ n ɨ ¹¹	Yintale Karen
Hill-Miri	nyis1236	1214	THIS	86	si	120	s i	
Pa'O	paok1235	1214	THIS	86	źo⁴⁴²²	200	zʲ o ⁴⁴/²²	
W. Kayah	west2409	1214	THIS	86	ie³³	200	i e ³³	Kayah Western
Written Tibetan	tibe1272	1214	THIS	86	ãdi	616	ã ∼ d i	
Ninglang-Naxi	naxi1245	1214	THIS	86	c̣hɨ³³	140	tʂʰ ɨ ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1214	THIS	86	abaʒi	386	a b a ʒ i	Naga Ao
Garo	garo1247	1214	THIS	86	ia	200	i a	
Sherpa	sher1255	1214	THIS	86	d-i_LF	616	d + i	Solu-Khumbu Sherpa
Manu	manu1255	1214	THIS	86	he⁴⁴_ʔɨ¹¹	200	h e ⁴⁴ _ ʔ ɨ ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	1214	THIS	86	źo⁴⁴	200	zʲ o ⁴⁴	Yinbaw Karen
Ao-Mongsen	mong1332	1214	THIS	86	aba	386	a b a	Naga Ao
Yimchunrü	yimc1240	1214	THIS	86	ha	200	h a	Naga Yimchungru
Burmese	nucl1310	1214	THIS	86	i	200	i	
Lhasa Tibetan	tibe1272	1214	THIS	86	ti¹³	616	t i ¹³	
Nishi	nisi1238	1215	THOU	87	no	557	n o	Nisi?
Geker	geko1235	1215	THOU	87	na³³	557	n a ³³	Geko Karen?
Geba	geba1237	1215	THOU	87	nɛ³³	557	n ɛ ³³	
Lijiang-Naxi	lich1241	1215	THOU	87	nɨ³¹	557	n ɨ ³¹	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1215	THOU	87	nə⁴²	557	n ə ⁴²	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1215	THOU	87	nan	557	n a n	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1215	THOU	87	nạ³³	557	n a̰ ³³	
Lhota	loth1237	1215	THOU	87	no	557	n o	Naga Lotha
Tujia	nort2732	1215	THOU	87	ńi³	557	nʲ i ³	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1215	THOU	87	naː³³	557	n aː ³³	Yintale Karen
Hill-Miri	nyis1236	1215	THOU	87	no	557	n o	
Pa'O	paok1235	1215	THOU	87	na⁵⁵⁵⁵	557	n a ⁵⁵/⁵⁵	
W. Kayah	west2409	1215	THOU	87	nɛ̣¹¹	557	n ɛ̰ ¹¹	Kayah Western
Written Tibetan	tibe1272	1215	THOU	87	khjod	259	kʰ j o d	
Ninglang-Naxi	naxi1245	1215	THOU	87	no⁵⁵	557	n o ⁵⁵	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1215	THOU	87	naŋ	557	n a ŋ	Naga Ao
Garo	garo1247	1215	THOU	87	na-a	557	n a + a	
Sherpa	sher1255	1215	THOU	87	khyo_LR	259	kʰ y o	Solu-Khumbu Sherpa
Manu	manu1255	1215	THOU	87	nạ¹¹	557	n a̰ ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	1215	THOU	87	nṿ̃⁴⁴⁵⁵	557	n ṽ̰ ∼ ⁴⁴/⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	1215	THOU	87	no	557	n o	Naga Ao
Yimchunrü	yimc1240	1215	THOU	87	nɨ	557	n ɨ	Naga Yimchungru
Burmese	nucl1310	1215	THOU	87	naŋ	557	n a ŋ	
Lhasa Tibetan	tibe1272	1215	THOU	87	che⁵⁵_raŋ⁵⁵	259	tsʰ e ⁵⁵ _ r a ŋ ⁵⁵	
Kusunda	kusu1250	1215	THOU	74	no	0	n o	
Nishi	nisi1238	1205	TONGUE	88	ai	156	a i	Nisi?
Geker	geko1235	1205	TONGUE	88	pleːi³³	156	p l eː i ³³	Geko Karen?
Geba	geba1237	1205	TONGUE	88	kəpli³³	156	k ə p l i ³³	
Lijiang-Naxi	lich1241	1205	TONGUE	88	ći⁵⁵	156	tsʲ i ⁵⁵	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1205	TONGUE	88	a³³_łɔ⁴⁴	156	a ³³ _ ɬ ɔ ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1205	TONGUE	88	le	156	l e	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1205	TONGUE	88	pleː³³	156	p l eː ³³	
Lhota	loth1237	1205	TONGUE	88	nni,_nli	156	n l i	Naga Lotha
Tujia	nort2732	1205	TONGUE	88	ji³_la¹	156	j i ³ _ l a ¹	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1205	TONGUE	88	pli¹¹	156	p l i ¹¹	Yintale Karen
Hill-Miri	nyis1236	1205	TONGUE	88	ari	156	a r i	
Pa'O	paok1235	1205	TONGUE	88	pre²²²²	156	p r e ²²/²²	
W. Kayah	west2409	1205	TONGUE	88	plị¹¹	156	p l ḭ ¹¹	Kayah Western
Written Tibetan	tibe1272	1205	TONGUE	88	lće	156	l tsʲ e	
Ninglang-Naxi	naxi1245	1205	TONGUE	88	ći³¹_mi¹³	156	tsʲ i ³¹ _ m i ¹³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1205	TONGUE	88	temeli	156	t e m e l i	Naga Ao
Garo	garo1247	1205	TONGUE	88	sre	156	s r e	
Sherpa	sher1255	1205	TONGUE	88	celakHF,_celɛ	156	ts e l a k	Solu-Khumbu Sherpa
Manu	manu1255	1205	TONGUE	88	plẹ¹¹	156	p l ḛ ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	1205	TONGUE	88	plẹ¹¹	156	p l ḛ ¹¹	Yinbaw Karen
Ao-Mongsen	mong1332	1205	TONGUE	88	tɨmeli	156	t ɨ m e l i	Naga Ao
Yimchunrü	yimc1240	1205	TONGUE	88	mulo	156	m u l o	Naga Yimchungru
Burmese	nucl1310	1205	TONGUE	88	hlja	156	h l j a	
Lhasa Tibetan	tibe1272	1205	TONGUE	88	će⁵⁵	156	tsʲ e ⁵⁵	
Kusunda	kusu1250	1205	TONGUE	141	idzaŋ	0	i dz a ŋ	
Nishi	nisi1238	1380	TOOTH	89	əhih	216	ə h i h	Nisi?
Geker	geko1235	1380	TOOTH	89	ṭo⁴⁴_ṭɛ⁴⁴	216	ʈ o ⁴⁴ _ ʈ ɛ ⁴⁴	Geko Karen?
Geba	geba1237	1380	TOOTH	89	kɔṭo⁴⁴	216	k ɔ ʈ o ⁴⁴	
Lijiang-Naxi	lich1241	1380	TOOTH	89	su²¹	216	s u ²¹	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1380	TOOTH	89	ći⁵⁵	93	tsʲ i ⁵⁵	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1380	TOOTH	89	śa	216	sʲ a	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1380	TOOTH	89	mɛ⁴⁴	504	m ɛ ⁴⁴	
Lhota	loth1237	1380	TOOTH	89	oːho	216	oː h o	Naga Lotha
